,original,destination,original address,destination address,distance,time
10,จันทบุรี,ตราด,"['33 เลียบเนิน, Tambon Wat Mai, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi 22000, Thailand']","['หมู่ที่ 5 229 Tambon Nong Samet, Amphoe Mueang Trat, Chang Wat Trat 23000, Thailand']",70.1 km,1 hour 6 mins
11,จันทบุรี,ฉะเชิงเทรา,"['33 เลียบเนิน, Tambon Wat Mai, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi 22000, Thailand']","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']",190 km,2 hours 53 mins
12,จันทบุรี,สระแก้ว,"['33 เลียบเนิน, Tambon Wat Mai, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi 22000, Thailand']","['9 Thetsaban 12 Alley, Amphoe Mueang Sa Kaeo, Chang Wat Sa Kaeo 27000, Thailand']",157 km,2 hours 13 mins
13,ตราด,จันทบุรี,"['หมู่ที่ 5 229 Tambon Nong Samet, Amphoe Mueang Trat, Chang Wat Trat 23000, Thailand']","['33 เลียบเนิน, Tambon Wat Mai, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi 22000, Thailand']",69.9 km,1 hour 5 mins
14,ฉะเชิงเทรา,กรุงเทพมหานคร,"['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']","['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']",68.8 km,1 hour 10 mins
15,ฉะเชิงเทรา,สมุทรปราการ,"['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']","['246 Sukhumvit Rd, Thai Ban, อำเภอเมือง Chang Wat Samut Prakan 10280, Thailand']",74.1 km,1 hour 13 mins
16,ฉะเชิงเทรา,ปทุมธานี,"['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']","['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']",88.0 km,1 hour 32 mins
17,ฉะเชิงเทรา,ชลบุรี,"['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']","['9X6H+PWW, Phaya Satcha Alley, Tambon Bang Pla Soi, Amphoe Mueang Chon Buri, Chang Wat Chon Buri 20000, Thailand']",43.1 km,55 mins
18,ฉะเชิงเทรา,ระยอง,"['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']","['M79F+8PW, Taksin Maharat Rd, Tambon Tha Pradu, Amphoe Mueang Rayong, Chang Wat Rayong 21000, Thailand']",137 km,1 hour 54 mins
19,ฉะเชิงเทรา,จันทบุรี,"['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']","['33 เลียบเนิน, Tambon Wat Mai, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi 22000, Thailand']",190 km,2 hours 52 mins
20,ฉะเชิงเทรา,ปราจีนบุรี,"['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']","['306/9 Prachin Anuson, Tambon Na Muang, Amphoe Mueang Prachin Buri, Chang Wat Prachin Buri 25000, Thailand']",76.3 km,1 hour 7 mins
21,ฉะเชิงเทรา,นครนายก,"['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']","['160 Ban Yai Alley, Tambon Ban Yai, Amphoe Mueang Nakhon Nayok, Chang Wat Nakhon Nayok 26000, Thailand']",74.1 km,1 hour 22 mins
22,ฉะเชิงเทรา,สระแก้ว,"['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']","['9 Thetsaban 12 Alley, Amphoe Mueang Sa Kaeo, Chang Wat Sa Kaeo 27000, Thailand']",124 km,1 hour 39 mins
23,ปราจีนบุรี,ฉะเชิงเทรา,"['306/9 Prachin Anuson, Tambon Na Muang, Amphoe Mueang Prachin Buri, Chang Wat Prachin Buri 25000, Thailand']","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']",76.3 km,1 hour 7 mins
24,ปราจีนบุรี,นครนายก,"['306/9 Prachin Anuson, Tambon Na Muang, Amphoe Mueang Prachin Buri, Chang Wat Prachin Buri 25000, Thailand']","['160 Ban Yai Alley, Tambon Ban Yai, Amphoe Mueang Nakhon Nayok, Chang Wat Nakhon Nayok 26000, Thailand']",25.4 km,27 mins
25,ปราจีนบุรี,สระแก้ว,"['306/9 Prachin Anuson, Tambon Na Muang, Amphoe Mueang Prachin Buri, Chang Wat Prachin Buri 25000, Thailand']","['9 Thetsaban 12 Alley, Amphoe Mueang Sa Kaeo, Chang Wat Sa Kaeo 27000, Thailand']",89.6 km,1 hour 27 mins
26,ปราจีนบุรี,นครราชสีมา,"['306/9 Prachin Anuson, Tambon Na Muang, Amphoe Mueang Prachin Buri, Chang Wat Prachin Buri 25000, Thailand']","['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']",189 km,2 hours 57 mins
27,นครนายก,กรุงเทพมหานคร,"['160 Ban Yai Alley, Tambon Ban Yai, Amphoe Mueang Nakhon Nayok, Chang Wat Nakhon Nayok 26000, Thailand']","['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']",107 km,1 hour 38 mins
28,นครนายก,ปทุมธานี,"['160 Ban Yai Alley, Tambon Ban Yai, Amphoe Mueang Nakhon Nayok, Chang Wat Nakhon Nayok 26000, Thailand']","['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']",90.3 km,1 hour 38 mins
29,นครนายก,สระบุรี,"['160 Ban Yai Alley, Tambon Ban Yai, Amphoe Mueang Nakhon Nayok, Chang Wat Nakhon Nayok 26000, Thailand']","['10/4/19 ถนน พิชัยรณรงค์สงคราม Amphoe Mueang Saraburi, Chang Wat Saraburi 18000, Thailand']",59.3 km,1 hour 2 mins
30,นครนายก,ฉะเชิงเทรา,"['160 Ban Yai Alley, Tambon Ban Yai, Amphoe Mueang Nakhon Nayok, Chang Wat Nakhon Nayok 26000, Thailand']","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']",74.2 km,1 hour 24 mins
31,นครนายก,ปราจีนบุรี,"['160 Ban Yai Alley, Tambon Ban Yai, Amphoe Mueang Nakhon Nayok, Chang Wat Nakhon Nayok 26000, Thailand']","['306/9 Prachin Anuson, Tambon Na Muang, Amphoe Mueang Prachin Buri, Chang Wat Prachin Buri 25000, Thailand']",26.1 km,29 mins
32,นครนายก,นครราชสีมา,"['160 Ban Yai Alley, Tambon Ban Yai, Amphoe Mueang Nakhon Nayok, Chang Wat Nakhon Nayok 26000, Thailand']","['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']",198 km,2 hours 46 mins
33,สระแก้ว,จันทบุรี,"['9 Thetsaban 12 Alley, Amphoe Mueang Sa Kaeo, Chang Wat Sa Kaeo 27000, Thailand']","['33 เลียบเนิน, Tambon Wat Mai, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi 22000, Thailand']",157 km,2 hours 20 mins
34,สระแก้ว,ฉะเชิงเทรา,"['9 Thetsaban 12 Alley, Amphoe Mueang Sa Kaeo, Chang Wat Sa Kaeo 27000, Thailand']","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']",121 km,1 hour 45 mins
35,สระแก้ว,ปราจีนบุรี,"['9 Thetsaban 12 Alley, Amphoe Mueang Sa Kaeo, Chang Wat Sa Kaeo 27000, Thailand']","['306/9 Prachin Anuson, Tambon Na Muang, Amphoe Mueang Prachin Buri, Chang Wat Prachin Buri 25000, Thailand']",88.6 km,1 hour 23 mins
36,สระแก้ว,นครราชสีมา,"['9 Thetsaban 12 Alley, Amphoe Mueang Sa Kaeo, Chang Wat Sa Kaeo 27000, Thailand']","['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']",174 km,2 hours 43 mins
37,สระแก้ว,บุรีรัมย์,"['9 Thetsaban 12 Alley, Amphoe Mueang Sa Kaeo, Chang Wat Sa Kaeo 27000, Thailand']","['234/6 Chira 13 Alley, Tambon Nai Mueang, Amphoe Mueang Buri Ram, Chang Wat Buri Ram 31000, Thailand']",222 km,3 hours 15 mins
38,นครราชสีมา,ลพบุรี,"['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']","['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']",198 km,2 hours 45 mins
39,นครราชสีมา,สระบุรี,"['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']","['10/4/19 ถนน พิชัยรณรงค์สงคราม Amphoe Mueang Saraburi, Chang Wat Saraburi 18000, Thailand']",155 km,2 hours 0 mins
40,นครราชสีมา,ปราจีนบุรี,"['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']","['306/9 Prachin Anuson, Tambon Na Muang, Amphoe Mueang Prachin Buri, Chang Wat Prachin Buri 25000, Thailand']",187 km,2 hours 55 mins
41,นครราชสีมา,นครนายก,"['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']","['160 Ban Yai Alley, Tambon Ban Yai, Amphoe Mueang Nakhon Nayok, Chang Wat Nakhon Nayok 26000, Thailand']",200 km,2 hours 44 mins
42,นครราชสีมา,สระแก้ว,"['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']","['9 Thetsaban 12 Alley, Amphoe Mueang Sa Kaeo, Chang Wat Sa Kaeo 27000, Thailand']",169 km,2 hours 39 mins
43,นครราชสีมา,บุรีรัมย์,"['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']","['234/6 Chira 13 Alley, Tambon Nai Mueang, Amphoe Mueang Buri Ram, Chang Wat Buri Ram 31000, Thailand']",125 km,1 hour 55 mins
44,นครราชสีมา,ชัยภูมิ,"['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']","['อาคารที่ว่าการอำเภอเมืองชัยภูมิ, ถนนองค์การ สาย 2, ตำบลในเมือง อำเภอเมืองชัยภูมิ จังหวัดชัยภูมิ, 36000 Tambon Nai Mueang, Amphoe Mueang Chaiyaphum, Chang Wat Chaiyaphum 36000, Thailand']",124 km,1 hour 59 mins
45,นครราชสีมา,ขอนแก่น,"['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']","['40000 Tambon Nai Mueang, Amphoe Mueang Khon Kaen, Chang Wat Khon Kaen 40000, Thailand']",193 km,2 hours 59 mins
46,บุรีรัมย์,สระแก้ว,"['234/6 Chira 13 Alley, Tambon Nai Mueang, Amphoe Mueang Buri Ram, Chang Wat Buri Ram 31000, Thailand']","['9 Thetsaban 12 Alley, Amphoe Mueang Sa Kaeo, Chang Wat Sa Kaeo 27000, Thailand']",222 km,3 hours 23 mins
47,บุรีรัมย์,นครราชสีมา,"['234/6 Chira 13 Alley, Tambon Nai Mueang, Amphoe Mueang Buri Ram, Chang Wat Buri Ram 31000, Thailand']","['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']",127 km,1 hour 56 mins
48,บุรีรัมย์,สุรินทร์,"['234/6 Chira 13 Alley, Tambon Nai Mueang, Amphoe Mueang Buri Ram, Chang Wat Buri Ram 31000, Thailand']","['ที่ว่าการ อำเภอ เมือง สุรินทร์, VFJR+VWW ถนน กรุงศรีนอก ตำบล ในเมือง อำเภอเมืองสุรินทร์ สุรินทร์ 32000, Thailand']",52.4 km,54 mins
49,บุรีรัมย์,ขอนแก่น,"['234/6 Chira 13 Alley, Tambon Nai Mueang, Amphoe Mueang Buri Ram, Chang Wat Buri Ram 31000, Thailand']","['40000 Tambon Nai Mueang, Amphoe Mueang Khon Kaen, Chang Wat Khon Kaen 40000, Thailand']",195 km,3 hours 3 mins
