,Amper1,Amper2
106,"('นาดี', 'ปราจีนบุรี')","('เมืองสระแก้ว', 'สระแก้ว')"
107,"('นาดี', 'ปราจีนบุรี')","('ประจันตคาม', 'ปราจีนบุรี')"
108,"('นาดี', 'ปราจีนบุรี')","('กบินทร์บุรี', 'ปราจีนบุรี')"
109,"('นาดี', 'ปราจีนบุรี')","('ครบุรี', 'นครราชสีมา')"
110,"('นาดี', 'ปราจีนบุรี')","('ปากช่อง', 'นครราชสีมา')"
111,"('นาดี', 'ปราจีนบุรี')","('วังน้ำเขียว', 'นครราชสีมา')"
112,"('ศรีมโหสถ', 'ปราจีนบุรี')","('พนมสารคาม', 'ฉะเชิงเทรา')"
113,"('ศรีมโหสถ', 'ปราจีนบุรี')","('ราชสาส์น', 'ฉะเชิงเทรา')"
114,"('ศรีมโหสถ', 'ปราจีนบุรี')","('บ้านสร้าง', 'ปราจีนบุรี')"
115,"('ศรีมโหสถ', 'ปราจีนบุรี')","('ศรีมหาโพธิ', 'ปราจีนบุรี')"
116,"('ศรีมโหสถ', 'ปราจีนบุรี')","('เมืองปราจีนบุรี', 'ปราจีนบุรี')"
117,"('แม่สะเรียง', 'แม่ฮ่องสอน')","('ฮอด', 'เชียงใหม่')"
118,"('แม่สะเรียง', 'แม่ฮ่องสอน')","('อมก๋อย', 'เชียงใหม่')"
119,"('แม่สะเรียง', 'แม่ฮ่องสอน')","('แม่ลาน้อย', 'แม่ฮ่องสอน')"
120,"('แม่สะเรียง', 'แม่ฮ่องสอน')","('สบเมย', 'แม่ฮ่องสอน')"
121,"('แม่สะเรียง', 'แม่ฮ่องสอน')","('แม่แจ่ม', 'เชียงใหม่')"
122,"('แม่สะเรียง', 'แม่ฮ่องสอน')","('ขุนยวม', 'แม่ฮ่องสอน')"
123,"('แม่ลาน้อย', 'แม่ฮ่องสอน')","('แม่สะเรียง', 'แม่ฮ่องสอน')"
124,"('แม่ลาน้อย', 'แม่ฮ่องสอน')","('แม่แจ่ม', 'เชียงใหม่')"
125,"('แม่ลาน้อย', 'แม่ฮ่องสอน')","('ขุนยวม', 'แม่ฮ่องสอน')"
126,"('สบเมย', 'แม่ฮ่องสอน')","('ฮอด', 'เชียงใหม่')"
127,"('สบเมย', 'แม่ฮ่องสอน')","('อมก๋อย', 'เชียงใหม่')"
128,"('สบเมย', 'แม่ฮ่องสอน')","('แม่สะเรียง', 'แม่ฮ่องสอน')"
129,"('สบเมย', 'แม่ฮ่องสอน')","('ท่าสองยาง', 'ตาก')"
130,"('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')","('กัลยาณิวัฒนา', 'เชียงใหม่')"
131,"('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')","('แม่แจ่ม', 'เชียงใหม่')"
132,"('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')","('ขุนยวม', 'แม่ฮ่องสอน')"
133,"('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')","('ปาย', 'แม่ฮ่องสอน')"
134,"('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')","('ปางมะผ้า', 'แม่ฮ่องสอน')"
135,"('ขุนยวม', 'แม่ฮ่องสอน')","('กัลยาณิวัฒนา', 'เชียงใหม่')"
136,"('ขุนยวม', 'แม่ฮ่องสอน')","('แม่สะเรียง', 'แม่ฮ่องสอน')"
137,"('ขุนยวม', 'แม่ฮ่องสอน')","('แม่ลาน้อย', 'แม่ฮ่องสอน')"
138,"('ขุนยวม', 'แม่ฮ่องสอน')","('แม่แจ่ม', 'เชียงใหม่')"
139,"('ขุนยวม', 'แม่ฮ่องสอน')","('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')"
140,"('ปาย', 'แม่ฮ่องสอน')","('เวียงแหง', 'เชียงใหม่')"
141,"('ปาย', 'แม่ฮ่องสอน')","('กัลยาณิวัฒนา', 'เชียงใหม่')"
142,"('ปาย', 'แม่ฮ่องสอน')","('เชียงดาว', 'เชียงใหม่')"
143,"('ปาย', 'แม่ฮ่องสอน')","('แม่แตง', 'เชียงใหม่')"
144,"('ปาย', 'แม่ฮ่องสอน')","('สะเมิง', 'เชียงใหม่')"
145,"('ปาย', 'แม่ฮ่องสอน')","('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')"
146,"('ปาย', 'แม่ฮ่องสอน')","('ปางมะผ้า', 'แม่ฮ่องสอน')"
147,"('ปางมะผ้า', 'แม่ฮ่องสอน')","('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')"
148,"('ปางมะผ้า', 'แม่ฮ่องสอน')","('ปาย', 'แม่ฮ่องสอน')"
149,"('เมืองพิจิตร', 'พิจิตร')","('บางกระทุ่ม', 'พิษณุโลก')"
150,"('เมืองพิจิตร', 'พิจิตร')","('วังทรายพูน', 'พิจิตร')"
151,"('เมืองพิจิตร', 'พิจิตร')","('โพธิ์ประทับช้าง', 'พิจิตร')"
152,"('เมืองพิจิตร', 'พิจิตร')","('ตะพานหิน', 'พิจิตร')"
153,"('เมืองพิจิตร', 'พิจิตร')","('สามง่าม', 'พิจิตร')"
154,"('เมืองพิจิตร', 'พิจิตร')","('ทับคล้อ', 'พิจิตร')"
155,"('เมืองพิจิตร', 'พิจิตร')","('สากเหล็ก', 'พิจิตร')"
156,"('วังทรายพูน', 'พิจิตร')","('เนินมะปราง', 'พิษณุโลก')"
157,"('วังทรายพูน', 'พิจิตร')","('เมืองพิจิตร', 'พิจิตร')"
158,"('วังทรายพูน', 'พิจิตร')","('ตะพานหิน', 'พิจิตร')"
159,"('วังทรายพูน', 'พิจิตร')","('ทับคล้อ', 'พิจิตร')"
160,"('วังทรายพูน', 'พิจิตร')","('สากเหล็ก', 'พิจิตร')"
161,"('วังทรายพูน', 'พิจิตร')","('วังโป่ง', 'เพชรบูรณ์')"
162,"('โพธิ์ประทับช้าง', 'พิจิตร')","('ไทรงาม', 'กำแพงเพชร')"
163,"('โพธิ์ประทับช้าง', 'พิจิตร')","('เมืองพิจิตร', 'พิจิตร')"
164,"('โพธิ์ประทับช้าง', 'พิจิตร')","('ตะพานหิน', 'พิจิตร')"
165,"('โพธิ์ประทับช้าง', 'พิจิตร')","('บึงสามัคคี', 'กำแพงเพชร')"
166,"('โพธิ์ประทับช้าง', 'พิจิตร')","('สามง่าม', 'พิจิตร')"
167,"('โพธิ์ประทับช้าง', 'พิจิตร')","('บึงนาราง', 'พิจิตร')"
168,"('ตะพานหิน', 'พิจิตร')","('เมืองพิจิตร', 'พิจิตร')"
169,"('ตะพานหิน', 'พิจิตร')","('วังทรายพูน', 'พิจิตร')"
170,"('ตะพานหิน', 'พิจิตร')","('โพธิ์ประทับช้าง', 'พิจิตร')"
171,"('ตะพานหิน', 'พิจิตร')","('บางมูลนาก', 'พิจิตร')"
172,"('ตะพานหิน', 'พิจิตร')","('โพทะเล', 'พิจิตร')"
173,"('ตะพานหิน', 'พิจิตร')","('ทับคล้อ', 'พิจิตร')"
174,"('ตะพานหิน', 'พิจิตร')","('บึงนาราง', 'พิจิตร')"
175,"('ตะพานหิน', 'พิจิตร')","('ดงเจริญ', 'พิจิตร')"
176,"('บางมูลนาก', 'พิจิตร')","('ชุมแสง', 'นครสวรรค์')"
177,"('บางมูลนาก', 'พิจิตร')","('หนองบัว', 'นครสวรรค์')"
178,"('บางมูลนาก', 'พิจิตร')","('ตะพานหิน', 'พิจิตร')"
179,"('บางมูลนาก', 'พิจิตร')","('โพทะเล', 'พิจิตร')"
180,"('บางมูลนาก', 'พิจิตร')","('ทับคล้อ', 'พิจิตร')"
181,"('บางมูลนาก', 'พิจิตร')","('ดงเจริญ', 'พิจิตร')"
182,"('โพทะเล', 'พิจิตร')","('ชุมแสง', 'นครสวรรค์')"
183,"('โพทะเล', 'พิจิตร')","('บรรพตพิสัย', 'นครสวรรค์')"
184,"('โพทะเล', 'พิจิตร')","('เก้าเลี้ยว', 'นครสวรรค์')"
185,"('โพทะเล', 'พิจิตร')","('ตะพานหิน', 'พิจิตร')"
186,"('โพทะเล', 'พิจิตร')","('บางมูลนาก', 'พิจิตร')"
187,"('โพทะเล', 'พิจิตร')","('บึงนาราง', 'พิจิตร')"
188,"('สามง่าม', 'พิจิตร')","('ไทรงาม', 'กำแพงเพชร')"
189,"('สามง่าม', 'พิจิตร')","('ทรายทองวัฒนา', 'กำแพงเพชร')"
190,"('สามง่าม', 'พิจิตร')","('เมืองพิษณุโลก', 'พิษณุโลก')"
191,"('สามง่าม', 'พิจิตร')","('บางระกำ', 'พิษณุโลก')"
192,"('สามง่าม', 'พิจิตร')","('บางกระทุ่ม', 'พิษณุโลก')"
193,"('สามง่าม', 'พิจิตร')","('เมืองพิจิตร', 'พิจิตร')"
194,"('สามง่าม', 'พิจิตร')","('โพธิ์ประทับช้าง', 'พิจิตร')"
195,"('สามง่าม', 'พิจิตร')","('บึงสามัคคี', 'กำแพงเพชร')"
196,"('สามง่าม', 'พิจิตร')","('วชิรบารมี', 'พิจิตร')"
197,"('ทับคล้อ', 'พิจิตร')","('เนินมะปราง', 'พิษณุโลก')"
198,"('ทับคล้อ', 'พิจิตร')","('เมืองพิจิตร', 'พิจิตร')"
199,"('ทับคล้อ', 'พิจิตร')","('วังทรายพูน', 'พิจิตร')"
200,"('ทับคล้อ', 'พิจิตร')","('ตะพานหิน', 'พิจิตร')"
201,"('ทับคล้อ', 'พิจิตร')","('บางมูลนาก', 'พิจิตร')"
202,"('ทับคล้อ', 'พิจิตร')","('ดงเจริญ', 'พิจิตร')"
203,"('ทับคล้อ', 'พิจิตร')","('ชนแดน', 'เพชรบูรณ์')"
204,"('ทับคล้อ', 'พิจิตร')","('วังโป่ง', 'เพชรบูรณ์')"
205,"('สากเหล็ก', 'พิจิตร')","('บางกระทุ่ม', 'พิษณุโลก')"
206,"('สากเหล็ก', 'พิจิตร')","('วังทอง', 'พิษณุโลก')"
207,"('สากเหล็ก', 'พิจิตร')","('เนินมะปราง', 'พิษณุโลก')"
208,"('สากเหล็ก', 'พิจิตร')","('เมืองพิจิตร', 'พิจิตร')"
209,"('สากเหล็ก', 'พิจิตร')","('วังทรายพูน', 'พิจิตร')"
210,"('บึงนาราง', 'พิจิตร')","('บรรพตพิสัย', 'นครสวรรค์')"
211,"('บึงนาราง', 'พิจิตร')","('โพธิ์ประทับช้าง', 'พิจิตร')"
212,"('บึงนาราง', 'พิจิตร')","('ตะพานหิน', 'พิจิตร')"
213,"('บึงนาราง', 'พิจิตร')","('โพทะเล', 'พิจิตร')"
214,"('บึงนาราง', 'พิจิตร')","('บึงสามัคคี', 'กำแพงเพชร')"
215,"('ดงเจริญ', 'พิจิตร')","('หนองบัว', 'นครสวรรค์')"
216,"('ดงเจริญ', 'พิจิตร')","('ตะพานหิน', 'พิจิตร')"
217,"('ดงเจริญ', 'พิจิตร')","('บางมูลนาก', 'พิจิตร')"
218,"('ดงเจริญ', 'พิจิตร')","('ทับคล้อ', 'พิจิตร')"
219,"('ดงเจริญ', 'พิจิตร')","('ชนแดน', 'เพชรบูรณ์')"
220,"('ดงเจริญ', 'พิจิตร')","('บึงสามพัน', 'เพชรบูรณ์')"
221,"('วชิรบารมี', 'พิจิตร')","('ไทรงาม', 'กำแพงเพชร')"
222,"('วชิรบารมี', 'พิจิตร')","('ลานกระบือ', 'กำแพงเพชร')"
223,"('วชิรบารมี', 'พิจิตร')","('บางระกำ', 'พิษณุโลก')"
224,"('วชิรบารมี', 'พิจิตร')","('บางกระทุ่ม', 'พิษณุโลก')"
225,"('วชิรบารมี', 'พิจิตร')","('สามง่าม', 'พิจิตร')"
226,"('เมืองภูเก็ต', 'ภูเก็ต')","('กะทู้', 'ภูเก็ต')"
227,"('เมืองภูเก็ต', 'ภูเก็ต')","('ถลาง', 'ภูเก็ต')"
228,"('กะทู้', 'ภูเก็ต')","('เมืองภูเก็ต', 'ภูเก็ต')"
229,"('กะทู้', 'ภูเก็ต')","('ถลาง', 'ภูเก็ต')"
230,"('ถลาง', 'ภูเก็ต')","('ตะกั่วทุ่ง', 'พังงา')"
231,"('ถลาง', 'ภูเก็ต')","('เมืองภูเก็ต', 'ภูเก็ต')"
232,"('ถลาง', 'ภูเก็ต')","('กะทู้', 'ภูเก็ต')"
233,"('เมืองลพบุรี', 'ลพบุรี')","('พัฒนานิคม', 'ลพบุรี')"
234,"('เมืองลพบุรี', 'ลพบุรี')","('โคกสำโรง', 'ลพบุรี')"
235,"('เมืองลพบุรี', 'ลพบุรี')","('ท่าวุ้ง', 'ลพบุรี')"
236,"('เมืองลพบุรี', 'ลพบุรี')","('พรหมบุรี', 'สิงห์บุรี')"
237,"('เมืองลพบุรี', 'ลพบุรี')","('มหาราช', 'พระนครศรีอยุธยา')"
238,"('เมืองลพบุรี', 'ลพบุรี')","('บ้านแพรก', 'พระนครศรีอยุธยา')"
239,"('เมืองลพบุรี', 'ลพบุรี')","('เมืองอ่างทอง', 'อ่างทอง')"
240,"('เมืองลพบุรี', 'ลพบุรี')","('ไชโย', 'อ่างทอง')"
241,"('เมืองลพบุรี', 'ลพบุรี')","('บ้านหมี่', 'ลพบุรี')"
242,"('เมืองลพบุรี', 'ลพบุรี')","('บ้านหมอ', 'สระบุรี')"
243,"('เมืองลพบุรี', 'ลพบุรี')","('ดอนพุด', 'สระบุรี')"
244,"('เมืองลพบุรี', 'ลพบุรี')","('หนองโดน', 'สระบุรี')"
245,"('เมืองลพบุรี', 'ลพบุรี')","('พระพุทธบาท', 'สระบุรี')"
246,"('พัฒนานิคม', 'ลพบุรี')","('เมืองลพบุรี', 'ลพบุรี')"
247,"('พัฒนานิคม', 'ลพบุรี')","('โคกสำโรง', 'ลพบุรี')"
248,"('พัฒนานิคม', 'ลพบุรี')","('ชัยบาดาล', 'ลพบุรี')"
249,"('พัฒนานิคม', 'ลพบุรี')","('แก่งคอย', 'สระบุรี')"
250,"('พัฒนานิคม', 'ลพบุรี')","('เฉลิมพระเกียรติ', 'สระบุรี')"
251,"('พัฒนานิคม', 'ลพบุรี')","('ท่าหลวง', 'ลพบุรี')"
252,"('พัฒนานิคม', 'ลพบุรี')","('พระพุทธบาท', 'สระบุรี')"
253,"('พัฒนานิคม', 'ลพบุรี')","('มวกเหล็ก', 'สระบุรี')"
254,"('พัฒนานิคม', 'ลพบุรี')","('วังม่วง', 'สระบุรี')"
255,"('โคกสำโรง', 'ลพบุรี')","('เมืองลพบุรี', 'ลพบุรี')"
256,"('โคกสำโรง', 'ลพบุรี')","('พัฒนานิคม', 'ลพบุรี')"
257,"('โคกสำโรง', 'ลพบุรี')","('ชัยบาดาล', 'ลพบุรี')"
258,"('โคกสำโรง', 'ลพบุรี')","('หนองม่วง', 'ลพบุรี')"
259,"('โคกสำโรง', 'ลพบุรี')","('บ้านหมี่', 'ลพบุรี')"
260,"('โคกสำโรง', 'ลพบุรี')","('สระโบสถ์', 'ลพบุรี')"
261,"('ชัยบาดาล', 'ลพบุรี')","('พัฒนานิคม', 'ลพบุรี')"
262,"('ชัยบาดาล', 'ลพบุรี')","('โคกสำโรง', 'ลพบุรี')"
263,"('ชัยบาดาล', 'ลพบุรี')","('ท่าหลวง', 'ลพบุรี')"
264,"('ชัยบาดาล', 'ลพบุรี')","('สระโบสถ์', 'ลพบุรี')"
265,"('ชัยบาดาล', 'ลพบุรี')","('โคกเจริญ', 'ลพบุรี')"
266,"('ชัยบาดาล', 'ลพบุรี')","('ลำสนธิ', 'ลพบุรี')"
267,"('ชัยบาดาล', 'ลพบุรี')","('มวกเหล็ก', 'สระบุรี')"
268,"('ชัยบาดาล', 'ลพบุรี')","('ศรีเทพ', 'เพชรบูรณ์')"
269,"('ท่าวุ้ง', 'ลพบุรี')","('โพธิ์ทอง', 'อ่างทอง')"
270,"('ท่าวุ้ง', 'ลพบุรี')","('เมืองลพบุรี', 'ลพบุรี')"
271,"('ท่าวุ้ง', 'ลพบุรี')","('พรหมบุรี', 'สิงห์บุรี')"
272,"('ท่าวุ้ง', 'ลพบุรี')","('บ้านแพรก', 'พระนครศรีอยุธยา')"
273,"('ท่าวุ้ง', 'ลพบุรี')","('ไชโย', 'อ่างทอง')"
274,"('ท่าวุ้ง', 'ลพบุรี')","('บ้านหมี่', 'ลพบุรี')"
275,"('ท่าวุ้ง', 'ลพบุรี')","('เมืองสิงห์บุรี', 'สิงห์บุรี')"
276,"('ท่าวุ้ง', 'ลพบุรี')","('ท่าช้าง', 'สิงห์บุรี')"
277,"('ท่าวุ้ง', 'ลพบุรี')","('อินทร์บุรี', 'สิงห์บุรี')"
278,"('หนองม่วง', 'ลพบุรี')","('โคกสำโรง', 'ลพบุรี')"
279,"('หนองม่วง', 'ลพบุรี')","('บ้านหมี่', 'ลพบุรี')"
280,"('หนองม่วง', 'ลพบุรี')","('สระโบสถ์', 'ลพบุรี')"
281,"('หนองม่วง', 'ลพบุรี')","('โคกเจริญ', 'ลพบุรี')"
282,"('หนองม่วง', 'ลพบุรี')","('ตาคลี', 'นครสวรรค์')"
283,"('หนองม่วง', 'ลพบุรี')","('ไพศาลี', 'นครสวรรค์')"
284,"('หนองม่วง', 'ลพบุรี')","('ตากฟ้า', 'นครสวรรค์')"
